,,Welcome to the PFC Official Master List! 👌😎,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,"Welcome to the PFC Master List, ang official directory ng carefully curated, secured, at trusted fragrance shops recommended by the Pinoy Fragheads Community (PFC). Lahat ng shops dito ay dumaan sa evaluation: based sa personal experience, verified distributors or legitimate sourcing, at strong vouching from the community over time. Kahit curated na ’to, we still encourage everyone to practice due diligence bago bumili. Let’s stay smart and responsible consumers. Before you explore, don’t forget to follow PFC’s social media pages for updates and to support the community. Let’s continue supporting legit shops, local brands, at syempre, gawin nating mabango ang Pilipinas, one Filipino at a time. 💯✌️",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"PFC - PREFERRED SHOPS
Shops under this category have submitted business documents, actively participate in the fragrance community, and are well-vouched by members. These are trusted shops with which PFC admins have had personal transactions and positive client experiences. All PFC-Preferred Shops listed are issued a Certificate as proof of inclusion.
While these submissions reflect a higher level of transparency and commitment from the shops, PFC’s listing is based on the documents and information provided and does not constitute a guarantee, warranty, or assumption of liability for any transactions. This process highlights the goodwill and proactive effort of participating shops to meet community standards, transparency, and accountability.",,,,,,,
Shop Name,Social Media,"Online Store 
Secured Link ",Product Categories,Physical Store,Business Documents Submitted,PFC-Preferred Certificate,Status Validity
The Dubai Shop Baliuag By Joanne Santiago,"Facebook
Tiktok",https://s.shopee.ph/6fepLHbDz2,"Middle Eastern, Designers, etc.","Crossing Baliwag Bulacan, Baliwag Bayan, & Nesabel Bustos Bulacan","✓ SEC Registration 
✓ Mayor's/Business Permit
✓ DTI Trust Mark
✓ Middle East Distribution License
✓ Certificate of Analysis of Perfumes ",2026-0001,"December 31, 2028"
YallajRj.dxb  (Yalla Dubai Kafagway),"Facebook
Tiktok",https://s.shopee.ph/30lkX5QBUp,"Middle Eastern, Designers, etc.","GF Porta Vaga, Session Road, Baguio City","✓ Mayor's/Business Permit
✓ DTI Trust Mark
✓ DTI Business Name Registration ",2026-0002,"March 30, 2027"
A&M Perfumes,"Facebook
Tiktok",https://s.shopee.ph/7KsZMEChra,"Middle Eastern, Local-Inspired, Designers, Niche"," Phase 1-A, Asohos St., Brgy. NBBS Kaunlaran, Navotas City",,,
"Mhycks' Imported Goodies
Mhyck's Scents","Facebook
Facebook",https://www.facebook.com/mhyckscents,"Middle Eastern, etc.","GCB Bldg. F. Castro St. Brgy. 3 Nasugbu, Batangas in front of Saveway Shoppers Mall",,,"March 30, 2027"
Xianelle Parfums,"Facebook
Tiktok",https://www.facebook.com/xianelleparfums,Middle Eastern,,,,"March 30, 2027"
Dubai Pasabuy by Miriam,"Facebook
Lazada",https://s.shopee.ph/40eHk8bNv7,Middle Eastern,,"✓ BIR Registration
✓ DTI Business Name Registration ",,"March 30, 2027"
Souq Shopper PH,Facebook,https://www.facebook.com/profile.php?id=61558116400852,"Middle Eastern, Pasabuys, Groceries","196 DLMP Compound, Brgy. San Roque, San Pablo City, Laguna",,,"March 30, 2027"
Fabulous Collection                     ,"Facebook
Tiktok",https://s.shopee.ph/60PM6vbU07,"Middle Eastern, Designers, etc.","1107 General San Miguel St, Sangandaan, Caloocan (Near SM Sangandaan)",,,"March 30, 2027"
MJ Chua (Mjchua perfume store),Facebook,"https://www.facebook.com/profile.php?id=100082304187718
Shopee (currently unavailable)","Designers, Niche, Middle-Eastern","
infront of olivarez hospital, Parañaque, Philippines, 1700",,,"March 30, 2027"
Regal Spritz,"Facebook
Tiktok",https://regalspritz.com/,Designers and Niche,"3F, Gov. A Carpio Avenue, Poblacion 4, Santo Tomas City, Batangas",,,"March 30, 2027"
Joyful Finds Hub UAE,Facebook,https://s.shopee.ph/gNpkj6mLI,"Middle Eastern, Designers, etc.",,,,
Wesworld Online Shop,Facebook,https://s.shopee.ph/7AZ9AcdpZW,"Middle Eastern, Designers, etc.",4 Malamig St Teachers Village Diliman Quezon City,"✓ SEC Registration 
✓ Mayor's/Business Permit",,"March 30, 2027"
Pashabuy,Facebook,https://www.facebook.com/pashabuynisha,"Middle Eastern, Designers, etc.",,,,"March 30, 2027"
Mad Kolektiv - PH & UAE,Facebook,https://www.facebook.com/madkolektiv,Middle-Eastern Perfumes,146 Ignacio St. Pasay City,"✓ Mayor's/Business Permit
✓ DTI Business Name Registration",,"March 30, 2027"
BS N' SALE ,Facebook,https://www.facebook.com/bsandsale,"Middle-Eastern, Bath and Body Works, VS","58 Victorio Cruz Street, Purok 5 Lower Bicutan, Taguig, Philippines",,,
KC Good Deals,Facebook,https://www.facebook.com/KCGooddeals,"Designers, Niche, Middle-Eastern",,,,
Dubai Pasabuy Batangas,Facebook,https://www.facebook.com/profile.php?id=100057628322108,"Middle Eastern, Designers, Jewelry, etc.",,,,
Marse PH,Facebook,https://www.facebook.com/marse.ph.900,,,,,
JP Fragrance Shop ,Facebook,https://s.shopee.ph/3B4xRiANmv,"Designers, Niche, Middle-Eastern",,,,"March 30, 2027"
Senteur Lounge (Sniff St.),Facebook,https://s.shopee.ph/4AxhvIoRbY,"Designers, Niche, Middle-Eastern, Decants",,"✓ Business Permit
✓ DTI Business Name Registration",,"March 30, 2027"
4200HUB ,"Tiktok 
Facebook",https://s.shopee.ph/9zvUq4BjnG,Middle-Eastern Decants ,,"✓ Business Permit
✓ DTI Business Name Registration",,"May 1, 2027"
One Whiff Wonder,Facebook,https://s.shopee.ph/4q8ccytmEO,"Decants: Designers, Niche, Middle-Eastern",,,,"March 30, 2027"
One Whiff Wonder II ,Facebook,https://s.shopee.ph/40ZVdZ6uNr,"Decants: Designers, Niche, Middle-Eastern",,,,"March 30, 2027"
Pocket Scents PH,Facebook,https://s.shopee.ph/50S2pZTrO3,"Decants: Designers, Niche, Middle-Eastern",,,,"March 30, 2027"
HL_Fragrance,Facebook,https://s.shopee.ph/4LCM2T7RWf,"Local-Inspired, Middle Eastern",,,,"March 30, 2027"
Scent Society,"Facebook
Instagram
Tiktok","https://s.shopee.ph/1qXcpdhvtJ

Lazada",Local Inspired,,,,
1440 Co.,"Facebook
Tiktok
Instagram",https://s.shopee.ph/6pwKW1ftcf,Local Inspired,,,,"March 30, 2027"
Sancto,"Facebook
Tiktok",https://s.shopee.ph/W2FDt23pV,Local Inspired,,,,"March 30, 2027"
Scenthusiast by De Luna,"Facebook
Facebook
Tiktok",https://s.shopee.ph/5AlWjSTrtr,"Local Inspired, Local Niche, Aromatheraphy, ",,,,"March 30, 2027"
Scent Matters,Facebook,https://s.shopee.ph/1VsfgfwN3r,Local Inspired,,,,"March 30, 2027"
Fumes - Scents that Suit you!,Facebook,https://s.shopee.ph/7AWd9Wp7K7,Local Inspired,,,,"March 30, 2027"
Wingman,"Facebook
Tiktok
Instagram",https://www.facebook.com/ByWingman,Local Inspired,,,,"March 30, 2027"
Overdose MNL,Facebook,https://s.shopee.ph/5fkWq6xB7f,Local Inspired,,,,"March 30, 2027"
Hour Dee Parfums,"Facebook
Tiktok
Shopee",https://s.shopee.ph/5VREU0dVlV,Local Inspired,,,,"March 30, 2027"
Jem Perfumery,Facebook,https://s.shopee.ph/9ztW1nzKXh,Local Inspired,,✓ Certificate of Analysis,,
Newyork Army,"Facebook
Tiktok",https://s.shopee.ph/7pmkH6muvQ,Local Inspired,,,,"March 30, 2027"
Valor Extrait,"Facebook
Instagram",https://www.facebook.com/ValorExtraitPh,Local Inspired,,,,
Sapphire Fragrances,"Facebook
Tiktok",https://s.shopee.ph/AKWMR1vlzZ,Local Inspired,,✓ Certificate of Analysis,,
Cotidiano Fragrance,"Facebook
Instagram",https://s.shopee.ph/40cItbnlG7,Local Inspired,,,,
MinimaliScent Fragrances II ,Facebook,https://s.shopee.ph/4fq6nMGUPx,"Middle Eastern, Local-Inspired, Designers, Niche",,,,
Fumes Cartel,"Facebook
Tiktok",https://s.shopee.ph/1LbXizr7hn,Local Inspired,,,,
Compliments PH,"Facebook
Tiktok",https://www.facebook.com/profile.php?id=61573939124921,Local Inspired,,,,
Elnaris,Facebook,https://s.shopee.ph/9ztW3Ekl72,"Local Inspired, Own blends",,,,
Dindin Fragrance,Facebook,https://s.shopee.ph/6AgnUYhfsq,Local Inspired,,,,
Dab and Go PH,"Facebook
Tiktok",https://www.facebook.com/profile.php?id=100089412907783,Local Inspired,,,,
GSP Parfum Collection,Facebook,https://www.facebook.com/profile.php?id=61575781821647,Local Inspired,,,,
Sillage Parfums,Facebook,https://www.facebook.com/profile.php?id=61583629165007,Local Inspired,,,,
,,,,,,,
"NON- PFC-PREFERRED SHOPS
These shops are well-known within the community and their links have been verified to belong to the stated stores. However, PFC has not conducted internal review, transaction validation, or authenticity checks, and therefore cannot guarantee the authenticity or quality of their products. As such, these shops are not officially certified, endorsed, or classified as PFC-Preferred, and PFC assumes no liability for any transactions made with them. Buyers are strongly advised to exercise due diligence when transacting.",,,,,,,
Shop Name,Social Media,"Online Store 
Secured Link ",Product Categories,Physical Store,,,
The Perfume Junkie PH by Kieffer Reyes,Facebook,https://s.shopee.ph/7fStRB8APB,"Designers, Niche",,,,
shopmixtrade,Facebook,https://s.shopee.ph/5L7gOh3Dgu,Middle Eastern,,,,
Fofo's Trading,Facebook,https://s.shopee.ph/7KsklqqNpB,Middle Eastern,,,,
